,precision,recall,f1_score,accuracy,positives,negatives,tnr,npv,fpr,fdr,for,fnr,balanced_accuracy,true_negatives,true_positives,false_negatives,false_positives,kappa,mcc,support,topic_number,ndcg_5,ndcg_10,ndcg_all
0,0.01607717041800643,0.7894736842105263,0.031512605042016806,0.026399155227032733,19,928,0.010775862068965518,0.7142857142857143,0.9892241379310345,0.9839228295819936,0.2857142857142857,0.21052631578947367,0.4001247731397459,10,15,4,918,-0.008133103949935938,-0.23207786650243223,947,1,0.7543701539552121,0.7018869335637162,0.7207579795617195
1,0.02530120481927711,0.75,0.04895104895104895,0.029726516052318668,28,813,0.004920049200492005,0.36363636363636365,0.995079950799508,0.9746987951807229,0.6363636363636364,0.25,0.377460024600246,4,21,7,809,-0.016527970753875687,-0.38698727454312926,841,2,0.14606834984270645,0.1610425878239398,0.5119569255829041
2,0.024205748865355523,0.6666666666666666,0.04671532846715328,0.03259259259259259,24,651,0.009216589861751152,0.42857142857142855,0.9907834101382489,0.9757942511346445,0.5714285714285714,0.3333333333333333,0.33794162826420887,6,16,8,645,-0.023518101832823657,-0.4211461494570703,675,3,0.14606834984270645,0.3038377318600772,0.46471268373573416
3,0.010514018691588784,0.9,0.020785219399538105,0.03416856492027335,10,868,0.024193548387096774,0.9545454545454546,0.9758064516129032,0.9894859813084113,0.045454545454545456,0.1,0.4620967741935484,21,9,1,847,-0.0017706544963322912,-0.05146569101241549,878,4,0.13120507751234178,0.18164264204274505,0.41092056271562166
4,0.01808785529715762,0.9333333333333333,0.035487959442332066,0.03670886075949367,15,775,0.01935483870967742,0.9375,0.9806451612903225,0.9819121447028424,0.0625,0.06666666666666667,0.4763440860215054,15,14,1,760,-0.0018330583745771456,-0.0458390635744426,790,5,0.0,0.1699983367086881,0.4877580979327136
5,0.0035294117647058825,0.5,0.007009345794392523,0.02968036529680365,6,870,0.026436781609195402,0.8846153846153846,0.9735632183908046,0.9964705882352941,0.11538461538461539,0.5,0.2632183908045977,23,3,3,847,-0.006684188325383866,-0.23015323204335653,876,6,0.0,0.0,0.14801981621784835
6,0.02230971128608924,0.8095238095238095,0.04342273307790549,0.03354838709677419,21,754,0.011936339522546418,0.6923076923076923,0.9880636604774535,0.9776902887139107,0.3076923076923077,0.19047619047619047,0.410730074523178,9,17,4,745,-0.009836105500668824,-0.22572586521515473,775,7,0.23518264139297895,0.3667990685492624,0.5681674625165121
7,0.005706134094151213,0.8,0.0113314447592068,0.019662921348314606,5,707,0.014144271570014143,0.9090909090909091,0.9858557284299858,0.9942938659058488,0.09090909090909091,0.2,0.4070721357850071,10,4,1,697,-0.0026510000766650776,-0.12583901463071476,712,8,0.0,0.0,0.20375066486997223
8,0.020757020757020756,0.7083333333333334,0.04033214709371293,0.028811524609843937,24,809,0.00865265760197775,0.5,0.9913473423980222,0.9792429792429792,0.5,0.2916666666666667,0.35849299546765556,7,17,7,802,-0.0165784944192775,-0.36828314768892295,833,9,0.10699313236726378,0.06943122193677727,0.3078594297810201
9,0.02190721649484536,0.7083333333333334,0.0425,0.029150823827629912,24,765,0.00784313725490196,0.46153846153846156,0.9921568627450981,0.9780927835051546,0.5384615384615384,0.2916666666666667,0.35808823529411765,6,17,7,759,-0.01754687247454334,-0.3828972065626594,789,10,0.08479005131840403,0.06111304720537969,0.3062540217814144
10,0.029411764705882353,0.9473684210526315,0.05705229793977813,0.03409090909090909,19,597,0.005025125628140704,0.75,0.9949748743718593,0.9705882352941176,0.25,0.05263157894736842,0.4761967733403861,3,18,1,594,-0.0029553415061296384,-0.10247645352128572,616,11,0.3391602052736161,0.22732300053290727,0.5057306758933646
11,0.008592910848549946,0.6153846153846154,0.01694915254237288,0.022128556375131718,13,936,0.013888888888888888,0.7222222222222222,0.9861111111111112,0.99140708915145,0.2777777777777778,0.38461538461538464,0.31463675213675213,13,8,5,923,-0.010350484712900787,-0.3159018240201783,949,12,0.0,0.07711607962658212,0.31012258130032144
12,0.015427769985974754,0.8461538461538461,0.030303030303030304,0.03956343792633015,13,720,0.025,0.9,0.975,0.9845722300140253,0.1,0.15384615384615385,0.4355769230769231,18,11,2,702,-0.0046960788131305,-0.10438777016250231,733,13,0.36297209628774124,0.4097670806701652,0.5882707499393337
13,0.03566121842496285,0.8275862068965517,0.06837606837606838,0.05079825834542816,29,660,0.016666666666666666,0.6875,0.9833333333333333,0.9643387815750372,0.3125,0.1724137931034483,0.4221264367816092,11,24,5,649,-0.013408479592662781,-0.207645960029498,689,14,0.6608397947263839,0.49864888181064093,0.6425290945523143
14,0.009067357512953367,0.875,0.017948717948717947,0.02295918367346939,8,776,0.014175257731958763,0.9166666666666666,0.9858247422680413,0.9909326424870466,0.08333333333333333,0.125,0.44458762886597936,11,7,1,765,-0.0022965178380687234,-0.09072214519938443,784,15,0.777747077360283,0.6895414170290696,0.7562124439844383
15,0.026392961876832845,0.8571428571428571,0.051209103840682786,0.04028776978417266,21,674,0.01483679525222552,0.7692307692307693,0.9851632047477745,0.9736070381231672,0.23076923076923078,0.14285714285714285,0.4359898261975413,10,18,3,664,-0.007879271471775695,-0.1617538901720785,695,16,0.07020838719835952,0.14526400530847705,0.38161080449359003
