,precision,recall,f1_score,accuracy,positives,negatives,tnr,npv,fpr,fdr,for,fnr,balanced_accuracy,true_negatives,true_positives,false_negatives,false_positives,kappa,mcc,support,topic_number,ndcg_5,ndcg_10,ndcg_all
0,0.26,0.8387096774193549,0.3969465648854962,0.3247863247863248,31,86,0.13953488372093023,0.7058823529411765,0.8604651162790697,0.74,0.29411764705882354,0.16129032258064516,0.48912228057014256,12,26,5,74,-0.012709543113837984,-0.02724416239537505,117,1,0.44615333764087994,0.4378189080061839,0.6707658037899106
1,0.9473684210526315,0.6428571428571429,0.7659574468085106,0.6666666666666666,28,5,0.8,0.2857142857142857,0.2,0.05263157894736842,0.7142857142857143,0.35714285714285715,0.7214285714285715,4,18,10,1,0.2546201232032853,0.32128233933443373,33,2,1.0,1.0,0.8844146391089225
2,0.8571428571428571,0.5,0.631578947368421,0.5625,24,8,0.75,0.3333333333333333,0.25,0.14285714285714285,0.6666666666666666,0.5,0.625,6,12,12,2,0.17647058823529416,0.21821789023599236,32,3,0.5147714448836774,0.4736695902179647,0.6394789257686612
3,0.6666666666666666,0.6,0.631578947368421,0.8055555555555556,10,26,0.8846153846153846,0.8518518518518519,0.11538461538461539,0.3333333333333333,0.14814814814814814,0.4,0.7423076923076923,23,6,4,3,0.5,0.5012804118276031,36,4,0.10699313236726378,0.07711607962658212,0.32694334356790045
4,0.8,0.8,0.8,0.8333333333333334,15,21,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.2,0.14285714285714285,0.2,0.8285714285714285,18,12,3,3,0.6571428571428573,0.6571428571428571,36,5,0.819972692711383,0.6152998914454914,0.7455229437786693
5,0.09,0.6923076923076923,0.1592920353982301,0.26356589147286824,13,116,0.21551724137931033,0.8620689655172413,0.7844827586206896,0.91,0.13793103448275862,0.3076923076923077,0.4539124668435013,25,9,4,91,-0.023211154713200344,-0.06646838558216107,129,6,0.0,0.22824560997755983,0.3842804915158768
6,0.75,0.7142857142857143,0.7317073170731707,0.7027027027027027,21,16,0.6875,0.6470588235294118,0.3125,0.25,0.35294117647058826,0.2857142857142857,0.7008928571428572,11,15,6,5,0.39881831610044316,0.39941527640440855,37,7,0.46604104255408946,0.5419293381075274,0.6478214650219961
7,0.18181818181818182,0.8,0.2962962962962963,0.45714285714285713,5,30,0.4,0.9230769230769231,0.6,0.8181818181818182,0.07692307692307693,0.2,0.6000000000000001,12,4,1,18,0.082758620689655,0.14484136487558028,35,8,0.0,0.0,0.2457900701138475
8,0.45,0.8653846153846154,0.5921052631578947,0.45614035087719296,52,62,0.11290322580645161,0.5,0.8870967741935484,0.55,0.5,0.1346153846153846,0.4891439205955335,7,45,7,55,-0.020207852193995457,-0.0329485650741675,114,9,0.15782422623975725,0.3448551920013339,0.6515812932093774
9,0.84,0.9130434782608695,0.875,0.7913043478260869,92,23,0.30434782608695654,0.4666666666666667,0.6956521739130435,0.16,0.5333333333333333,0.08695652173913043,0.6086956521739131,7,84,8,16,0.24999999999999978,0.2581988897471611,115,10,0.565602538756171,0.5470550823417595,0.8291497830130756
10,0.7,0.7368421052631579,0.717948717948718,0.65625,19,13,0.5384615384615384,0.5833333333333334,0.46153846153846156,0.3,0.4166666666666667,0.2631578947368421,0.6376518218623481,7,14,5,6,0.2786885245901639,0.2792896329177484,32,11,0.0,0.17462916882424143,0.40892281630918775
