,precision,recall,f1_score,accuracy,positives,negatives,tnr,npv,fpr,fdr,for,fnr,balanced_accuracy,true_negatives,true_positives,false_negatives,false_positives,kappa,mcc,support,topic_number,ndcg_5,ndcg_10,ndcg_all
0,0.05065666041275797,0.8709677419354839,0.09574468085106383,0.06593406593406594,31,515,0.017475728155339806,0.6923076923076923,0.9825242718446602,0.949343339587242,0.3076923076923077,0.12903225806451613,0.44422173504541185,9,27,4,506,-0.012957533339638783,-0.16933400389013895,546,1,0.404762744029787,0.27129327098547446,0.4962481367958253
1,0.03636363636363636,0.6428571428571429,0.06883365200764818,0.043222003929273084,28,481,0.008316008316008316,0.2857142857142857,0.9916839916839917,0.9636363636363636,0.7142857142857143,0.35714285714285715,0.3255865755865756,4,18,10,477,-0.039398373915559226,-0.48628944281333925,509,2,0.6843515475204855,0.5958595188912912,0.5723574706681962
2,0.0718232044198895,0.5416666666666666,0.12682926829268293,0.09595959595959595,24,174,0.034482758620689655,0.35294117647058826,0.9655172413793104,0.9281767955801105,0.6470588235294118,0.4583333333333333,0.2880747126436781,6,13,11,168,-0.11096482979123579,-0.4937751996149203,198,3,0.0,0.14279514403613733,0.3916291749517365
3,0.02356020942408377,0.9,0.04591836734693878,0.07425742574257425,10,394,0.0532994923857868,0.9545454545454546,0.9467005076142132,0.9764397905759162,0.045454545454545456,0.1,0.4766497461928934,21,9,1,373,-0.0024414839976647507,-0.031976188117077343,404,4,0.48522855511632257,0.34973201611667765,0.5338633049824622
4,0.03,0.8,0.05783132530120482,0.06682577565632458,15,404,0.039603960396039604,0.8421052631578947,0.9603960396039604,0.97,0.15789473684210525,0.2,0.41980198019801984,16,12,3,388,-0.012008524569910639,-0.14322642659671578,419,5,0.7840048711692542,0.6417426596172745,0.7862350063357163
5,0.03,0.6923076923076923,0.05750798722044728,0.09785932721712538,13,314,0.0732484076433121,0.8518518518518519,0.9267515923566879,0.97,0.14814814814814814,0.3076923076923077,0.3827780499755022,23,9,4,291,-0.02024304343687522,-0.1664305039210612,327,6,0.0,0.0521442648465579,0.2992153707847776
6,0.03006012024048096,0.7142857142857143,0.057692307692307696,0.050387596899224806,21,495,0.022222222222222223,0.6470588235294118,0.9777777777777777,0.969939879759519,0.35294117647058826,0.2857142857142857,0.3682539682539683,11,15,6,484,-0.022145681228321168,-0.29167892582181515,516,7,0.16958010263680806,0.13347537859706934,0.3232266911784607
7,0.017241379310344827,0.8,0.03375527426160337,0.0653061224489796,5,240,0.05,0.9230769230769231,0.95,0.9827586206896551,0.07692307692307693,0.2,0.42500000000000004,12,4,1,228,-0.006457978294017508,-0.0946163550445155,245,8,0.0,0.0,0.1899910869883576
8,0.234375,0.8653846153846154,0.36885245901639346,0.2524271844660194,52,154,0.045454545454545456,0.5,0.9545454545454546,0.765625,0.5,0.1346153846153846,0.4554195804195804,7,45,7,147,-0.0471349353049908,-0.15389395018030405,206,9,0.3082168163143322,0.33344148513045224,0.5758891235154875
9,0.2842809364548495,0.9239130434782609,0.43478260869565216,0.2939297124600639,92,221,0.03167420814479638,0.5,0.9683257918552036,0.7157190635451505,0.5,0.07608695652173914,0.4777936258115286,7,85,7,214,-0.026808377989223198,-0.09788093016180677,313,10,0.4343974612438291,0.5014991426187313,0.8225375344513977
10,0.047619047619047616,0.7368421052631579,0.08945686900958466,0.0625,19,285,0.017543859649122806,0.5,0.9824561403508771,0.9523809523809523,0.5,0.2631578947368421,0.3771929824561403,5,14,5,280,-0.03167420814479649,-0.3333333333333333,304,11,0.5087403079104241,0.4884712566640057,0.6147679057281491
11,0.017130620985010708,0.6153846153846154,0.03333333333333333,0.04722792607802875,13,474,0.03164556962025317,0.75,0.9683544303797469,0.9828693790149893,0.25,0.38461538461538464,0.32351509250243426,15,8,5,459,-0.019628369536770496,-0.2866982065324998,487,12,0.7227265726449519,0.5209104424854424,0.6063218369532353
